Designator,Mid X,Mid Y,Rotation,Layer
R30,-30.405018,56.883756,28.125,top
R31,-18.72329,61.72249,16.875,top
R32,-6.322034,64.189251,5.625,top
R38,73.187245,10.937736,188.5,top
R4,40.918439,49.859013,320.625,top
R40,-73.1871,10.937741,351.5,top
R41,-4.241151,58.365169,95.625,top
R42,15.546319,56.416272,73.125,top
R43,18.417134,55.545421,73.125,top
R44,35.952566,46.172538,50.625,top
R45,38.271594,44.269358,50.625,top
R46,50.885367,28.89943,28.125,top
R47,52.299563,26.253665,28.125,top
R48,58.071352,7.226616,5.625,top
R49,58.3654,4.241064,5.625,top
R5,49.859244,40.918205,309.375,top
R50,56.416505,-15.546404,343.125,top
R51,55.545656,-18.417223,343.125,top
R52,46.172774,-35.952653,320.625,top
R53,44.269592,-38.271681,320.625,top
R54,28.89966,-50.885457,298.125,top
R55,26.2539,-52.299648,298.125,top
R56,7.22685,-58.071438,275.625,top
R57,4.241296,-58.365489,275.625,top
R58,-15.546171,-56.416594,253.125,top
R59,-18.416989,-55.545739,253.125,top
R6,56.883993,30.404933,298.125,top
R60,-35.952416,-46.172859,230.625,top
R61,-38.271447,-44.269682,230.625,top
R62,-50.885221,-28.89975,208.125,top
R63,-52.299415,-26.253987,208.125,top
R64,-58.071202,-7.22694,185.625,top
R65,-58.365254,-4.241388,185.625,top
R66,-56.416361,15.546081,163.125,top
R67,-55.545505,18.416902,163.125,top
R68,-46.172623,35.95233,140.625,top
R69,-44.269446,38.27136,140.625,top
R7,61.722724,18.723203,286.875,top
R70,-28.899514,50.885134,118.125,top
R71,-26.253755,52.299324,118.125,top
R72,-7.226704,58.071117,95.625,top
R77,67.253152,10.050877,8.5,top
R78,67.253154,-10.0512,351.5,top
R79,-67.253006,10.050874,171.5,top
R8,64.189489,6.321943,275.625,top
R80,-67.253002,-10.051198,188.5,top
R81,79.831084,10.367955,277.4,top
R82,-6.248445,23.24991,180.0,top
R83,18.737496,1.767469,45.0,top
R84,15.555515,4.949453,45.0,top
R85,-1.248445,-14.000091,270.0,top
R86,1.251555,-14.000091,270.0,top
R87,15.909067,-1.060957,45.0,top
R88,12.727088,2.121023,45.0,top
R89,71.001555,-9.1e-05,270.0,top
R9,64.189487,-6.322271,264.375,top
R90,71.316654,-13.800362,172.6,top
R91,71.638643,-11.321183,172.6,top
R92,83.405024,-2.260922,352.6,top
R93,78.751555,-3.500092,180.0,top
SW1,82.804615,10.75427,97.4,top
SW2,74.500074,14.249837,0.0,top
U1,5.930106,60.20851,84.375,top
U10,-28.519439,-53.356398,241.875,top
U11,-46.767056,-38.380951,219.375,top
U12,-57.894823,-17.562386,196.875,top
U13,-60.208604,5.92987,174.375,top
U14,-53.356163,28.51935,151.875,top
U15,-38.380718,46.766968,129.375,top
U16,-17.56215,57.89473,106.875,top
U17,7.3e-05,-0.000161,135.0,top
U18,79.750069,-0.000166,180.0,bottom
U19,46.0,0.0,180.0,top
U2,28.519582,53.356076,61.875,top
U20,-68.746403,0.0,180.0,top
U3,46.7672,38.380628,39.375,top
U4,57.894967,17.562063,16.875,top
U5,60.208744,-5.930193,354.375,top
U6,53.356307,-28.519671,331.875,top
U7,38.380863,-46.767287,309.375,top
U8,17.562298,-57.895058,286.875,top
U9,-5.929963,-60.208836,264.375,top
Y1,-6.248445,20.249909,180.0,top
Y2,70.499165,-0.000295,90.0,bottom
