Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1, C2_2, C2, C3_2, C3, C4_2, C4",CP_Radial_D12.5mm_P5.00mm,8,1000u,
"J1_2, J1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_Kicker,
